mode,target_rank,tau_star,target_bits,avg_bit_width,effective_rank,residual_norm,rel_error,accuracy_proxy,bits_per_param,compression_ratio,model_size_mb,solve_time_s
constrained,32,4009.55712890625,2,2.0,33.0,3988.994873046875,0.9738809466362,0.02611905336380005,2.0,8.0,4.0,11.033704042434692
constrained,32,4009.55712890625,3,3.0,33.0,2109.31591796875,0.514972448348999,0.485027551651001,3.0,5.333333333333333,6.0,8.451233148574829
constrained,32,4009.55712890625,4,4.0,33.0,905.6677856445312,0.2211114913225174,0.7788885086774826,4.0,4.0,8.0,8.08298921585083
constrained,32,4009.55712890625,8,8.0,33.0,50.96828079223633,0.012443494983017445,0.9875565050169826,8.0,2.0,16.0,8.027737140655518
constrained,64,7920.0390625,2,2.0,65.0,3937.792236328125,0.9613802433013916,0.0386197566986084,2.0,8.0,4.0,8.049777507781982
constrained,64,7920.0390625,3,3.0,65.0,2129.529541015625,0.5199074745178223,0.48009252548217773,3.0,5.333333333333333,6.0,8.817521095275879
constrained,64,7920.0390625,4,4.0,65.0,914.5546875,0.2232811450958252,0.7767188549041748,4.0,4.0,8.0,7.90690803527832
constrained,64,7920.0390625,8,8.0,65.0,52.30961990356445,0.012770972214639187,0.9872290277853608,8.0,2.0,16.0,7.894270420074463
constrained,128,15519.1044921875,2,2.0,129.0,3829.7392578125,0.934999942779541,0.06500005722045898,2.0,8.0,4.0,7.823440074920654
constrained,128,15519.1044921875,3,3.0,129.0,2114.585693359375,0.5162590146064758,0.48374098539352417,3.0,5.333333333333333,6.0,7.900368928909302
constrained,128,15519.1044921875,4,4.0,129.0,909.010986328125,0.2219277024269104,0.7780722975730896,4.0,4.0,8.0,7.916691064834595
constrained,128,15519.1044921875,8,8.0,129.0,53.567054748535156,0.013077964074909687,0.9869220359250903,8.0,2.0,16.0,8.016679525375366
